"","Term","1","2","3","4","1","2","3","4"
"1","About",12,4,12,15,5,5,10,23
"2","Bites",6,4,12,21,3,9,14,17
"3","Blood",17,12,11,3,16,9,9,9
"4","City",21,11,8,3,16,14,6,7
"5","Clothes",4,11,10,18,9,12,11,11
"6","Control",9,7,11,16,6,14,7,16
"7","Dogs",27,6,4,6,23,8,3,9
"8","Eggs",14,9,6,14,14,6,10,13
"9","Exterminator",4,3,12,24,11,7,9,16
"10","Find",13,10,10,10,9,13,9,12
"11","Fly",30,10,3,0,21,13,8,1
"12","Get.rid.of",2,1,5,35,2,4,11,26
"13","Heat",24,10,5,4,20,16,6,1
"14","Hotels",14,13,7,9,12,10,9,12
"15","Images",8,5,9,21,5,9,6,23
"16","Itch",6,6,13,18,11,6,14,12
"17","Kill",2,7,10,24,3,6,10,24
"18","Look.like",6,5,9,23,2,2,16,23
"19","Mattress",0,5,13,25,2,10,10,21
"20","Pest.control",3,10,8,22,7,8,15,13
"21","Rash",5,11,14,13,4,14,16,9
"22","Registry",32,6,3,2,32,6,4,1
"23","Remedies",3,6,10,24,1,11,15,16
"24","Signs",7,6,13,17,1,9,8,25
"25","Size",12,9,13,9,8,13,9,13
"26","Spray",8,8,11,16,13,11,7,12
"27","Spread",8,13,8,14,3,16,9,15
"28","Symptoms",3,3,13,24,1,7,15,20
"29","Travel",20,11,9,3,16,9,9,9
"30","Treatment",2,1,11,29,4,6,10,23
